County,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nassau,,268471,309971,418134,529324,621133,806042,847823,894718,721567,1053629,1037832,1420871,1845860,1861056,1421943,859447,289086,503063,601978,820739,838644,1008984,1359140,1544224
Okaloosa,,262710,307430,247406,454710,364496,423644,439950,666471,734419,1136319,1413407,1428145,2314211,1669333,1157099,919979,612522,821622,1320961,1119639,1266326,1303031,1423958,1623085
Okeechobee,,343712,355015,287808,243858,234179,245260,248819,265231,256815,366603,462507,481558,895180,848581,1081561,602858,354579,320007,432839,401367,351840,374427,421025,498102
Orange,,9470653,9022595,8540771,9183693,10542823,11800813,15427857,13248839,16372952,11839596,12596991,14911265,20783679,21007971,21676335,15522310,9004038,8462631,9494664,12418461,16179385,17268758,17519237,25624527
Osceola,,1170417,1155235,0,1389411,1626680,1851784,2156543,3403338,2843918,2866834,4369460,6445304,8762248,8081476,6157611,5351673,1566112,1299000,1099000,2036000,2333599,3064564,7886281,6813432
Palm Beach,,8459541,9780866,9385043,9343740,10318414,10438300,10548854,11057828,12469947,10204340,10824285,13082902,17539451,21993949,13806364,9611976,8223170,10504302,10995164,11854220,14934688,15915616,17535915,18281445
Pasco,,1784210,1770281,1656943,1669628,2234957,2558792,2817201,2772713,3189800,5514951,6819336,8235466,8854480,7969649,5091518,3891584,3071966,3225825,5242632,10932889,4490423,4283393,5218189,6357111
Pinellas,,2364671,2578506,2361350,2495863,2638533,2644266,2789765,2580613,3266623,2905668,3496185,3571915,4115823,3766261,3509024,3274619,2563425,3267783,3969579,4381622,4884741,5267566,5657155,6287197
Polk,,1840753,2201456,2001228,2110331,2184936,2375324,2544582,2871828,2754180,2864945,3398032,3955214,5400852,3690869,2347521,4153358,3169262,3009893,3087572,3183004,3726884,4262456,5003392,6332816
Putnam,,341802,334807,341067,267306,319670,340281,328870,356664,301240,319264,343037,534583,629386,705441,719039,447018,332723,345035,289753,260965,277039,260398,332630,341695
St. Johns,,1145483,1243092,1461944,1854670,1839740,2082159,2517286,2811244,2942844,3869953,5590017,6873898,5146771,3600109,3927156,3419481,2887802,2970357,3286962,4140426,5856515,6308079,6673642,7887118
St. Lucie,,1950862,353293,664570,693311,685314,679583,865523,1300838,1290474,1684187,1832111,2506589,4068587,2606087,2102224,1458425,968021,901153,890233,1049536,1048580,1418646,1488017,1977052
Santa Rosa,,590667,721445,669942,792337,925907,913456,1329707,1166317,1150309,1304794,1870226,2163960,2685600,2173998,2042882,1227518,927309,1129266,1012771,1057917,1355382,1488099,1705333,2395228
Sarasota,,2043405,2264860,2282595,2606958,2851735,3077506,3578104,3390782,4927777,7007656,7365112,7577051,8534732,7892963,5325560,5714340,4857028,5555142,5210896,5715895,7068108,9010714,9810736,8453858
Seminole,,1873924,1883864,1818582,1553290,1662558,2438822,3124460,3022874,2720695,2792021,2932032,3275499,3840311,2730446,2810679,2654254,1390943,1625287,1439099,1324636,1904458,2611012,3041985,3111191
Sumter,,306012,466782,547955,625955,799173,940824,1066480,1240042,1731504,933381,1418179,4126485,3837069,4282830,2338668,3295862,2356067,3040795,3507819,3209852,3235400,2250429,1695703,1446448
Suwannee,,0,141001,154796,128045,164969,206084,183772,173914,229061,230599,317558,360519,470426,416515,355415,229934,179760,170941,138126,155755,143643,178341,184965,209756
Taylor,,0,0,0,0,0,61470,0,58039,67761,66198,57657,85293,152155,174221,133247,103336,118615,131336,42703,120674,165601,149341,141849,168153
Union,,38633,46868,64303,66803,68095,81823,70564,75867,55783,60804,52507,52233,76603,141267,114644,73130,61282,50796,56214,48811,47207,49534,49643,65627
Volusia,,1006015,963850,765505,865571,558429,692205,713282,925621,1130104,1283272,1388562,1695944,2129228,1965978,1363991,1181961,852408,694326,671161,801827,887115,1116374,1205372,1385852
Wakulla,,124558,0,175899,0,220442,0,0,30588,0,0,0,0,0,0,533125,414252,352836,409340,279909,237290,0,0,0,0
Walton,,279893,340969,389296,481820,567415,516579,592066,702304,750781,764509,919569,1283636,1390928,1907565,1378312,981400,541176,567897,823722,1227728,1860659,2001145,2174711,2516724
Washington,,50288,52543,65462,0,0,0,147282,135011,141100,148053,123402,135998,214896,217284,197565,205730,123262,138120,116520,104892,131106,120459,190288,143272
Statewide Total,,112183883,110339609,112162047,120338169,130976688,124557194,145104427,152297027,168260783,174929096,204405032,237828533,298220550,288465361,223053352,177390453,136327569,133396475,150359088,175423675,195449922,214919096,245469630,272187522
% Change,,-,-0.016439741,0.016516626,0.07289562,0.088405193,-0.049012493,0.164962234,0.049568439,0.104819879,0.039630821,0.168502191,0.163516038,0.253930915,-0.032711324,-0.226758626,-0.204717385,-0.231483055,-0.021500376,0.12715938,0.166698185,0.114159317,0.099612084,0.142148997,0.108843982
# Reporting,,62,62,63,63,63,63,62,64,63,64,65,65,65,65,66,66,67,67,67,67,66,66,66,65
,,,,,,,,,,,,,,,,,,,,,,,,,
Note: This summary reflects aggregate revenues reported across all fund types within current and prior years' Uniform Accounting System (UAS) Revenue Code 322.000 - Building Permits.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data Source: Florida Department of Financial Services.,,,,,,,,,,,,,,,,,,,,,,,,,
